TPNH	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one	-a>
H+	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one	-a>
O2	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	-a>
5beta-Cholestane-3alpha,7alpha,26-triol	H2O	-a>
5beta-Cholestane-3alpha,7alpha,26-triol	TPN	-a>
5beta-Cholestane-3alpha,7alpha,26-triol	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	-a>
H+	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	-a>
TPNH	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	-a>
ATP	phosphate	-a>
ATP	ADP	-a>
ATP	bile salts	-a>
bile salts	phosphate	-a>
bile salts	ADP	-a>
bile salts	bile salts	-a>
O2	5beta-Cholestane-3alpha,7alpha,26-triol	-a>
H+	5beta-Cholestane-3alpha,7alpha,26-triol	-a>
TPNH	5beta-Cholestane-3alpha,7alpha,26-triol	-a>
5beta-cholestane-3alpha,7alpha-diol	TPN	-a>
5beta-cholestane-3alpha,7alpha-diol	H2O	-a>
5beta-cholestane-3alpha,7alpha-diol	5beta-Cholestane-3alpha,7alpha,26-triol	-a>
3alpha,7alpha,12alpha-Trihydroxycoprostane	TPN	-a>
3alpha,7alpha,12alpha-Trihydroxycoprostane	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane	-a>
3alpha,7alpha,12alpha-Trihydroxycoprostane	H2O	-a>
O2	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane	-a>
H+	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane	-a>
TPNH	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane	-a>
O2	H2O2	-a>
(25S)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA	H2O2	-a>
H+	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al	-a>
3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane	TPN	-a>
3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane	H2O	-a>
3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al	-a>
O2	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al	-a>
TPNH	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al	-a>
ATP	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	-a>
CoA	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	-a>
TPNH	7alpha-Hydroxy-5beta-cholestan-3-one	-a>
7alpha-hydroxycholest-4-en-3-one	7alpha-Hydroxy-5beta-cholestan-3-one	-a>
H+	7alpha-Hydroxy-5beta-cholestan-3-one	-a>
DPN	7alpha-hydroxycholest-4-en-3-one	-a>
7alpha-Hydroxycholesterol	H+	-a>
7alpha-Hydroxycholesterol	NADH	-a>
7alpha-Hydroxycholesterol	7alpha-hydroxycholest-4-en-3-one	-a>
Glycine	taurocholate	-a>
choloyl-CoA	taurocholate	-a>
choloyl-CoA	CoA	-a>
5beta-cholestane-3alpha,7alpha-diol	5beta-cholestane-3alpha,7alpha-diol	-a>
O2	3alpha,7alpha-Dihydroxy-5beta-cholestanate	-a>
TPNH	3alpha,7alpha-Dihydroxy-5beta-cholestanate	-a>
H+	3alpha,7alpha-Dihydroxy-5beta-cholestanate	-a>
3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	TPN	-a>
3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	3alpha,7alpha-Dihydroxy-5beta-cholestanate	-a>
3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	H2O	-a>
Glycine	taurochenodeoxycholate	-a>
Glycine	CoA	-a>
Chenodeoxycholoyl-CoA	taurochenodeoxycholate	-a>
Chenodeoxycholoyl-CoA	CoA	-a>
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	AMP	-a>
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	H2O	-a>
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA	-a>
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	PPi	-a>
CoA	AMP	-a>
CoA	H2O	-a>
CoA	(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA	-a>
CoA	PPi	-a>
ATP	AMP	-a>
ATP	H2O	-a>
ATP	(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA	-a>
ATP	PPi	-a>
3alpha,7alpha,12alpha-Trihydroxycoprostane	3alpha,7alpha,12alpha-Trihydroxycoprostane	-a>
3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA	3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	-a>
H2O	3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	-a>
DPN	3alpha,7alpha,12alpha-trihydroxy-24-oxo-5beta-cholestanoyl-CoA	-a>
TPNH	5beta-cholestane-3alpha,7alpha-diol	-a>
7alpha-Hydroxy-5beta-cholestan-3-one	5beta-cholestane-3alpha,7alpha-diol	-a>
7alpha-Hydroxy-5beta-cholestan-3-one	TPN	-a>
H+	5beta-cholestane-3alpha,7alpha-diol	-a>
3alpha,7alpha-Dihydroxy-5beta-cholestanate	3alpha,7alpha-Dihydroxy-5beta-cholestanate	-a>
(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA	(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA	-a>
cholate	cholate	-a>
O2	H2O	-a>
O2	TPN	-a>
O2	7alpha,12alpha-dihydroxycholest-4-en-3-one	-a>
H+	H2O	-a>
H+	7alpha,12alpha-dihydroxycholest-4-en-3-one	-a>
TPNH	H2O	-a>
TPNH	7alpha,12alpha-dihydroxycholest-4-en-3-one	-a>
7alpha-hydroxycholest-4-en-3-one	H2O	-a>
7alpha-hydroxycholest-4-en-3-one	TPN	-a>
7alpha-hydroxycholest-4-en-3-one	7alpha,12alpha-dihydroxycholest-4-en-3-one	-a>
3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	-a>
DPN	H+	-a>
DPN	3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl-CoA	-a>
DPN	NADH	-a>
3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	H+	-a>
3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl-CoA	-a>
3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	NADH	-a>
7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one	TPN	-a>
7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one	3alpha,7alpha,12alpha-Trihydroxycoprostane	-a>
TPNH	TPN	-a>
TPNH	3alpha,7alpha,12alpha-Trihydroxycoprostane	-a>
H+	TPN	-a>
H+	3alpha,7alpha,12alpha-Trihydroxycoprostane	-a>
