abstract	actin filament polymerization
ARF1/GDP/Membrin	ARF1/GDP/Membrin/GBF1/p115/Brefeldin A	component>
ARF1/GDP/Membrin	ARF1/GTP/Membrin/GBF1/p115	component>
PI-4-P	PI-4-5-P2	-a>
vacuolar proton-transporting V-type ATPase complex	CD4/HIV Nef/AP2/vacuolar proton-transporting V-type ATPase complex	component>
AP2	CD4/HIV Nef/AP2/vacuolar proton-transporting V-type ATPase complex	component>
HIV Nef	CD4/HIV Nef/AP2/vacuolar proton-transporting V-type ATPase complex	component>
CD4	CD4/HIV Nef/AP2/vacuolar proton-transporting V-type ATPase complex	component>
ARFGAP1	ARFGAP1	-a>
ARFGAP1	ARF1/GTP/GGA3/ARF-GAP1	component>
ARF1/GTP/GGA3	ARF1/GTP/GGA3/ARF-GAP1	component>
Phosphatidic acid	PIP5K1A	-a>
coatomer protein complex/ARF1/GTP/ARF-GAP1	coatomer protein complex/ARF1/GTP/ARF-GAP1/ER cargo protein	component>
ER cargo protein	coatomer protein complex/ARF1/GTP/ARF-GAP1/ER cargo protein	component>
ARFGAP1	KDEL Receptor/Ligand/ARF-GAP1	component>
KDEL Receptor/Ligand	KDEL Receptor/Ligand/ARF-GAP1	component>
Arp2/3	Arp2/3 Overexpression on golgi	-a>
ARF1/GTP/ARHGAP10	actin filament polymerization	-ap>
ARF1/GDP	ARF1/GDP	-a>
ARF1/GDP	ARF1/GTP	-a>
coatomer protein complex	p115	component>
coatomer protein complex	GBF1	component>
coatomer protein complex	GOSR2	component>
coatomer protein complex	ARF1/GTP/coatomer protein complex	component>
ARF1/GTP/Membrin/GBF1/p115	p115	component>
ARF1/GTP/Membrin/GBF1/p115	GBF1	component>
ARF1/GTP/Membrin/GBF1/p115	GOSR2	component>
ARF1/GTP/Membrin/GBF1/p115	ARF1/GTP/coatomer protein complex	component>
