# samples 279
10.00	pid_41122_pathway.tab
10.00	pid_41164_pathway.tab
10.00	pid_45732_pathway.tab
10.00	pid_45781_pathway.tab
10.00	pid_45711_pathway.tab
10.00	pid_45649_pathway.tab
10.00	pid_45873_pathway.tab
10.00	pid_36989_pathway.tab
10.00	pid_36874_pathway.tab
10.00	pid_45665_pathway.tab
10.00	pid_45730_pathway.tab
10.00	pid_45688_pathway.tab
10.00	pid_45674_pathway.tab
10.00	pid_41215_pathway.tab
10.00	pid_45702_pathway.tab
10.00	pid_45703_pathway.tab
10.00	pid_36963_pathway.tab
10.00	pid_41186_pathway.tab
10.00	pid_41738_pathway.tab
10.00	pid_41112_pathway.tab
10.00	pid_41121_pathway.tab
10.00	pid_41046_pathway.tab
20.00	pid_37034_pathway.tab
20.00	pid_41160_pathway.tab
20.00	pid_36931_pathway.tab
20.00	pid_41178_pathway.tab
20.00	pid_41342_pathway.tab
20.00	pid_45778_pathway.tab
20.00	pid_45900_pathway.tab
20.00	pid_36934_pathway.tab
20.00	pid_41318_pathway.tab
20.00	pid_45727_pathway.tab
20.00	pid_45708_pathway.tab
20.00	pid_41736_pathway.tab
20.00	pid_36964_pathway.tab
20.00	pid_41219_pathway.tab
20.00	pid_45692_pathway.tab
20.00	pid_45663_pathway.tab
20.00	pid_41101_pathway.tab
20.00	pid_41476_pathway.tab
20.00	pid_36927_pathway.tab
20.00	pid_41107_pathway.tab
20.00	pid_36882_pathway.tab
20.00	pid_40913_pathway.tab
20.00	pid_41232_pathway.tab
20.00	pid_41636_pathway.tab
20.00	pid_37026_pathway.tab
20.00	pid_41842_pathway.tab
20.00	pid_41551_pathway.tab
20.00	pid_37011_pathway.tab
20.00	pid_41177_pathway.tab
20.00	pid_36965_pathway.tab
20.00	pid_41725_pathway.tab
20.00	pid_45827_pathway.tab
20.00	pid_41839_pathway.tab
20.00	pid_41437_pathway.tab
20.00	pid_45670_pathway.tab
20.00	pid_45819_pathway.tab
20.00	pid_41732_pathway.tab
20.00	pid_41159_pathway.tab
20.00	pid_45686_pathway.tab
20.00	pid_45647_pathway.tab
20.00	pid_37052_pathway.tab
20.00	pid_36962_pathway.tab
20.00	pid_41013_pathway.tab
20.00	pid_41495_pathway.tab
20.00	pid_41469_pathway.tab
20.00	pid_41607_pathway.tab
20.00	pid_45789_pathway.tab
20.00	pid_36974_pathway.tab
20.00	pid_37045_pathway.tab
20.00	pid_41419_pathway.tab
20.00	pid_41251_pathway.tab
20.00	pid_36951_pathway.tab
20.00	pid_41305_pathway.tab
20.00	pid_45784_pathway.tab
20.00	pid_41337_pathway.tab
20.00	pid_41340_pathway.tab
20.00	pid_40966_pathway.tab
20.00	pid_36961_pathway.tab
20.00	pid_41344_pathway.tab
20.00	pid_45698_pathway.tab
20.00	pid_45802_pathway.tab
20.00	pid_45885_pathway.tab
20.00	pid_45814_pathway.tab
20.00	pid_45721_pathway.tab
20.00	pid_41208_pathway.tab
20.00	pid_40973_pathway.tab
20.00	pid_41627_pathway.tab
20.00	pid_41520_pathway.tab
20.00	pid_45788_pathway.tab
20.00	pid_41296_pathway.tab
20.00	pid_37049_pathway.tab
20.00	pid_37010_pathway.tab
20.00	pid_45750_pathway.tab
20.00	pid_41629_pathway.tab
20.00	pid_41517_pathway.tab
20.00	pid_41090_pathway.tab
20.00	pid_41221_pathway.tab
20.00	pid_41634_pathway.tab
20.00	pid_40961_pathway.tab
20.00	pid_41365_pathway.tab
20.00	pid_45744_pathway.tab
20.00	pid_37043_pathway.tab
20.00	pid_37027_pathway.tab
20.00	pid_41166_pathway.tab
20.00	pid_41133_pathway.tab
20.00	pid_45768_pathway.tab
20.00	pid_41322_pathway.tab
20.00	pid_40922_pathway.tab
20.00	pid_41704_pathway.tab
20.00	pid_41508_pathway.tab
20.00	pid_41278_pathway.tab
30.00	pid_40907_pathway.tab
30.00	pid_45867_pathway.tab
30.00	pid_45662_pathway.tab
30.00	pid_41728_pathway.tab
30.00	pid_37051_pathway.tab
30.00	pid_45830_pathway.tab
30.00	pid_41042_pathway.tab
30.00	pid_37047_pathway.tab
30.00	pid_41652_pathway.tab
30.00	pid_45668_pathway.tab
30.00	pid_45777_pathway.tab
30.00	pid_41814_pathway.tab
30.00	pid_41234_pathway.tab
30.00	pid_41656_pathway.tab
30.00	pid_41885_pathway.tab
30.00	pid_45803_pathway.tab
30.00	pid_41150_pathway.tab
30.00	pid_45718_pathway.tab
30.00	pid_41411_pathway.tab
30.00	pid_41435_pathway.tab
30.00	pid_36970_pathway.tab
30.00	pid_41447_pathway.tab
30.00	pid_45838_pathway.tab
30.00	pid_41585_pathway.tab
30.00	pid_41667_pathway.tab
30.00	pid_37033_pathway.tab
30.00	pid_37031_pathway.tab
30.00	pid_45697_pathway.tab
30.00	pid_45846_pathway.tab
30.00	pid_41431_pathway.tab
30.00	pid_41355_pathway.tab
30.00	pid_41293_pathway.tab
30.00	pid_36966_pathway.tab
30.00	pid_41276_pathway.tab
30.00	pid_41030_pathway.tab
30.00	pid_41668_pathway.tab
30.00	pid_41038_pathway.tab
30.00	pid_41375_pathway.tab
30.00	pid_36905_pathway.tab
30.00	pid_41410_pathway.tab
30.00	pid_41303_pathway.tab
30.00	pid_41543_pathway.tab
30.00	pid_37006_pathway.tab
30.00	pid_45767_pathway.tab
30.00	pid_41201_pathway.tab
30.00	pid_41184_pathway.tab
30.00	pid_45724_pathway.tab
30.00	pid_45775_pathway.tab
30.00	pid_36875_pathway.tab
30.00	pid_45893_pathway.tab
30.00	pid_45798_pathway.tab
30.00	pid_45660_pathway.tab
30.00	pid_45855_pathway.tab
30.00	pid_41391_pathway.tab
30.00	pid_41395_pathway.tab
30.00	pid_36941_pathway.tab
30.00	pid_41653_pathway.tab
30.00	pid_45693_pathway.tab
30.00	pid_45862_pathway.tab
30.00	pid_41669_pathway.tab
30.00	pid_41001_pathway.tab
30.00	pid_45800_pathway.tab
30.00	pid_45863_pathway.tab
30.00	pid_45861_pathway.tab
30.00	pid_45810_pathway.tab
30.00	pid_41176_pathway.tab
30.00	pid_37016_pathway.tab
