complex	TACI/TRAF6/TRAF5/TRAF2
complex	BAFF/TACI/TRAF6/TRAF5/TRAF2
complex	APRIL/TACI/TRAF6/TRAF5/TRAF2
complex	APRIL/BCMA/TRAF6/TRAF5/TRAF3
complex	BAFF/BCMA/TRAF6/TRAF5/TRAF3
complex	BCMA/TRAF6/TRAF5/TRAF3
protein	TNFSF13B
protein	TNFSF13
TNFSF13B	BAFF/TACI/TRAF6/TRAF5/TRAF2	component>
TACI/TRAF6/TRAF5/TRAF2	BAFF/TACI/TRAF6/TRAF5/TRAF2	component>
TNFSF13	APRIL/TACI/TRAF6/TRAF5/TRAF2	component>
TACI/TRAF6/TRAF5/TRAF2	APRIL/TACI/TRAF6/TRAF5/TRAF2	component>
TNFSF13B	BAFF/BCMA/TRAF6/TRAF5/TRAF3	component>
BCMA/TRAF6/TRAF5/TRAF3	BAFF/BCMA/TRAF6/TRAF5/TRAF3	component>
TNFSF13	APRIL/BCMA/TRAF6/TRAF5/TRAF3	component>
BCMA/TRAF6/TRAF5/TRAF3	APRIL/BCMA/TRAF6/TRAF5/TRAF3	component>
