protein	CTNNB1
protein	JUP
protein	CDH1
complex	E-cadherin/beta catenin-gamma catenin
complex	E-cadherin/beta catenin
CTNNB1	E-cadherin/beta catenin-gamma catenin	component>
CTNNB1	E-cadherin/beta catenin	component>
JUP	E-cadherin/beta catenin-gamma catenin	component>
CDH1	E-cadherin/beta catenin-gamma catenin	component>
CDH1	E-cadherin/beta catenin	component>
