protein	NCOR2
protein	NR1H4
protein	FAM120B
protein	NCOA1
protein	MED1
protein	NR1H3
protein	PPARA
protein	PPARD
protein	NR1H2
protein	RXRG
protein	PPARG
protein	SREBF1
protein	RXRB
protein	RXRB
protein	RPS6KB1
protein	RARG
protein	NR4A1
protein	RXRA
protein	RARG
protein	VDR
protein	THRB
protein	THRA
protein	RARB
protein	RARB
protein	RARB
protein	RARB
protein	BCL2
protein	RARA
protein	RARA
protein	TNF
protein	TGFB1
protein	ABCA1
complex	VDR/Vit D3/DNA
complex	VDR/VDR/Vit D3
complex	VDR/VDR/DNA
complex	RXRs/VDR/DNA/Vit D3
complex	RXRs/RXRs/DNA/9cRA
complex	RXRs/PPAR/9cRA/PGJ2/DNA
complex	RXRs/PPAR
complex	RXRs/NUR77/BCL2
complex	RXRs/NUR77
complex	RXRs/LXRs/DNA/Oxysterols
complex	RXRs/LXRs/DNA/9cRA
complex	RXRs/LXRs/DNA
complex	RXRs/FXR/9cRA/MED1
complex	RXRs/FXR
VDR	VDR/VDR/DNA	component>
VDR	RXRs/VDR/DNA/Vit D3	component>
VDR	RARs/VDR/DNA/Vit D3	component>
THRB	RARs/THRs/DNA/Src-1	component>
THRB	RARs/THRs/DNA/SMRT	component>
THRB	RARs/THRs	component>
THRA	RARs/THRs/DNA/Src-1	component>
THRA	RARs/THRs/DNA/SMRT	component>
THRA	RARs/THRs	component>
RARB	RARs/VDR/DNA/Vit D3	component>
RARB	RARs/THRs/DNA/Src-1	component>
RARB	RARs/THRs/DNA/SMRT	component>
RARB	RARs/THRs	component>
RARB	RARs/RARs/DNA/9cRA	component>
RARB	RARs/VDR/DNA/Vit D3	component>
RARB	RARs/THRs/DNA/Src-1	component>
RARB	RARs/THRs/DNA/SMRT	component>
RARB	RARs/THRs	component>
RARB	RARs/RARs/DNA/9cRA	component>
RARB	RARs/VDR/DNA/Vit D3	component>
RARB	RARs/THRs/DNA/Src-1	component>
RARB	RARs/THRs/DNA/SMRT	component>
RARB	RARs/THRs	component>
RARB	RARs/RARs/DNA/9cRA	component>
RARB	RARs/VDR/DNA/Vit D3	component>
RARB	RARs/THRs/DNA/Src-1	component>
RARB	RARs/THRs/DNA/SMRT	component>
RARB	RARs/THRs	component>
RARB	RARs/RARs/DNA/9cRA	component>
BCL2	RXRs/NUR77/BCL2	component>
RARA	RARs/VDR/DNA/Vit D3	component>
RARA	RARs/THRs/DNA/Src-1	component>
RARA	RARs/THRs/DNA/SMRT	component>
RARA	RARs/THRs	component>
RARA	RARs/RARs/DNA/9cRA	component>
RARA	RARs/VDR/DNA/Vit D3	component>
RARA	RARs/THRs/DNA/Src-1	component>
RARA	RARs/THRs/DNA/SMRT	component>
RARA	RARs/THRs	component>
RARA	RARs/RARs/DNA/9cRA	component>
RXRs/PPAR/9cRA/PGJ2/DNA	RPS6KB1	-a|
RXRs/LXRs/DNA/Oxysterols	cholesterol transport	-ap>
RXRs/LXRs/DNA/Oxysterols	SREBF1	-t>
RXRs/LXRs/DNA/Oxysterols	TNF	-t>
RXRs/LXRs/DNA/Oxysterols	ABCA1	-t>
