protein	TBX21
protein	SMARCD1
protein	SMARCC1
protein	CREBBP
protein	HDAC2
protein	SMARCC2
protein	SUV420H1
protein	PCK2
protein	MAPK14
protein	NCOA1
protein	MAPK11
protein	NCOA2
protein	CDK5R1
protein	NR1I3
protein	HDAC1
protein	FKBP5
protein	EP300
protein	BAX
protein	YWHAH
protein	KRT17
protein	RELA
protein	FKBP4
protein	MDM2
protein	CDK5
protein	SUMO2
protein	IL2
protein	MAPK10
protein	PPP5C
protein	SMARCA4
protein	GSK3B
protein	MAPK9
protein	MAPK8
protein	STAT1
protein	PBX1
protein	CDKN1A
protein	IL13
protein	VIPR1
protein	SFN
protein	AKT1
protein	MAPK1
protein	POU1F1
protein	MAPK3
protein	GATA3
protein	NR4A1
protein	PRKACB
protein	PRKACG
protein	TBP
protein	NFKB1
protein	EGR1
protein	PRKACA
protein	SELE
protein	CREB1
protein	POU2F1
protein	KRT5
protein	IRF1
protein	IL8
protein	HSP90AA1
protein	CSN2
protein	JUN
protein	ICAM1
protein	IL6
protein	IL5
protein	IL4
protein	TP53
protein	NR3C1
protein	NR3C1
protein	NR3C1
protein	CSF2
protein	MMP1
protein	BGLAP
protein	AFP
protein	FGG
protein	KRT14
protein	IFNG
protein	PRL
protein	CGA
protein	POMC
protein	FOS
protein	NFATC1
protein	SGK1
complex	cortisol/GR alpha/BRG1/BAF155/BAF170/BAF60A
complex	cortisol/GR alpha (monomer)/Hsp90/FKBP52/HSP90
complex	cortisol/GR alpha (monomer)/AP-1
complex	cortisol/GR alpha (monomer)
complex	cortisol/GR alpha (dimer)/p53
complex	cortisol/GR alpha (dimer)/TIF2
complex	cortisol/GR alpha (dimer)/Src-1
complex	cortisol/GR alpha (dimer)/Hsp90/FKBP52/HSP90
complex	cortisol/GR alpha (dimer)
complex	TIF2/SUV420H1
complex	STAT1 (dimer)
complex	NF kappa B1 p50/RelA/PKAc
complex	NF kappa B1 p50/RelA/Cbp/cortisol/GR alpha (monomer)/HDAC2
complex	NF kappa B1 p50/RelA/Cbp
complex	NF kappa B1 p50/RelA
complex	JUN (dimer)
complex	GR/PKAc
complex	GR beta/TIF2
complex	GR alpha/HSP90/FKBP51/HSP90/PP5C
complex	GR alpha/HSP90/FKBP51/HSP90/14-3-3
