pathway_id	pathway_name
98	Signaling events mediated by PRL
67	Rapid glucocorticoid signaling
109	Signaling events activated by Hepatocyte Growth Factor Receptor (c-Met)
1	Sphingosine 1-phosphate (S1P) pathway
54	Nephrin/Neph1 signaling in the kidney podocyte
53	JNK signaling in the CD4+ TCR pathway
4	Class I PI3K signaling events mediated by Akt
99	TCR signaling in na&#239;ve CD4+ T cells
26	Aurora A signaling
83	S1P3 pathway
119	Nongenotropic Androgen signaling
32	Endothelins
124	Paxillin-independent events mediated by a4b1 and a4b7
23	Integrins in angiogenesis
134	TCGA08_retinoblastoma
72	LPA receptor mediated events
35	Alternative NF-kappaB pathway
45	E-cadherin signaling in the nascent adherens junction
10	IL12-mediated signaling events
13	FAS signaling pathway (CD95)
93	IL6-mediated signaling events
111	Wnt signaling
121	E2F transcription factor network
103	Nectin adhesion pathway
37	Osteopontin-mediated events
64	Syndecan-4-mediated signaling events
51	IL4-mediated signaling events
59	Class I PI3K signaling events
96	Ras signaling in the CD4+ TCR pathway
110	Calcineurin-regulated NFAT-dependent transcription in lymphocytes
100	PLK1 signaling events
90	Aurora C signaling
18	S1P4 pathway
24	Hedgehog signaling events mediated by Gli proteins
84	Signaling events mediated by PTP1B
49	BARD1 signaling events
9	IL23-mediated signaling events
78	Syndecan-2-mediated signaling events
15	PLK2 and PLK4 events
22	BCR signaling pathway
107	E-cadherin signaling events
76	Syndecan-3-mediated signaling events
87	ErbB2/ErbB3 signaling events
91	PDGFR-beta signaling pathway
52	Signaling events mediated by HDAC Class II
8	a6b1 and a6b4 Integrin signaling
125	Arf6 downstream pathway
88	Insulin Pathway
73	Signaling mediated by p38-gamma and p38-delta
36	LPA4-mediated signaling events
92	FoxO family signaling
94	Signaling events mediated by Stem cell factor receptor (c-Kit)
2	Signaling events mediated by VEGFR1 and VEGFR2
39	Calcium signaling in the CD4+ TCR pathway
101	Ephrin B reverse signaling
113	PDGFR-alpha signaling pathway
3	VEGFR1 specific signals
68	Signaling events mediated by the Hedgehog family
126	Presenilin action in Notch and Wnt signaling
115	Regulation of cytoplasmic and nuclear SMAD2/3 signaling
97	Arf1 pathway
29	Arf6 signaling events
82	S1P1 pathway
70	IFN-gamma pathway
63	Signaling events mediated by HDAC Class I
86	IL27-mediated signaling events
104	Neurotrophic factor-mediated Trk receptor signaling
122	mTOR signaling pathway
117	p75(NTR)-mediated signaling
6	Class IB PI3K non-lipid kinase events
108	Angiopoietin receptor Tie2-mediated signaling
47	Signaling events mediated by HDAC Class III
128	S1P5 pathway
85	p38 MAPK signaling pathway
118	Ceramide signaling pathway
62	Cellular roles of Anthrax toxin
30	Regulation of Telomerase
66	Glucocorticoid receptor regulatory network
12	HIV-1 Nef: Negative effector of Fas and TNF-alpha
34	Glypican 2 network
105	BMP receptor signaling
133	TCGA08_p53
42	TCR signaling in na&#239;ve CD8+ T cells
41	Canonical NF-kappaB pathway
75	Noncanonical Wnt signaling pathway
116	EPO signaling pathway
55	IL2 signaling events mediated by STAT5
57	Paxillin-dependent events mediated by a4b1
123	Circadian rhythm pathway
33	Insulin-mediated glucose transport
80	IL1-mediated signaling events
132	TCGA Ovarian Manually Curated
61	HIF-2-alpha transcription factor network
56	amb2 Integrin signaling
95	Role of Calcineurin-dependent NFAT signaling in lymphocytes
102	Arf6 trafficking events
112	Regulation of nuclear SMAD2/3 signaling
60	Visual signal transduction: Cones
131	Reelin signaling pathway
74	IL2 signaling events mediated by PI3K
43	Fc-epsilon receptor I signaling in mast cells
106	Regulation of Androgen receptor activity
11	a4b1 and a4b7 Integrin signaling
25	Syndecan-1-mediated signaling events
89	Visual signal transduction: Rods
5	Sumoylation by RanBP2 regulates transcriptional repression
69	Atypical NF-kappaB pathway
79	Plasma membrane estrogen receptor signaling
44	HIF-1-alpha transcription factor network
77	Aurora B signaling
14	FOXA2 and FOXA3 transcription factor networks
135	TCGA08_rtk_signaling
81	Ephrin A  reverse signaling
130	TRAIL signaling pathway
19	EPHB forward signaling
114	FOXM1 transcription factor network
48	EGFR-dependent Endothelin signaling events
127	RXR and RAR heterodimerization with other nuclear receptor
7	Signaling events regulated by Ret tyrosine kinase
27	Regulation of p38-alpha and p38-beta
129	Caspase cascade in apoptosis
28	ceramide signaling pathway
20	Coregulation of Androgen receptor activity
71	Stabilization and expansion of the E-cadherin adherens junction
46	IGF1 pathway
17	ErbB4 signaling events
40	Retinoic acid receptors-mediated signaling
21	Effects of Botulinum toxin
50	Canonical Wnt signaling pathway
58	Thromboxane A2 receptor signaling
31	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha
65	Glypican 1 network
38	E-cadherin signaling in keratinocytes
120	Lissencephaly gene (LIS1) in neuronal migration and development
16	Signaling mediated by p38-alpha and p38-beta
