NPPA	NPPA/NPR2/NPPC/NPPB/NPR3 (complex)	component>
NPR2	NPPA/NPR2/NPPC/NPPB/NPR3 (complex)	component>
NPPC	NPPA/NPR2/NPPC/NPPB/NPR3 (complex)	component>
NPPB	NPPA/NPR2/NPPC/NPPB/NPR3 (complex)	component>
NPR3	NPPA/NPR2/NPPC/NPPB/NPR3 (complex)	component>
TSEN54	TSEN54/TSEN15/TSEN34/CLP1/TSEN2 (complex)	component>
TSEN15	TSEN54/TSEN15/TSEN34/CLP1/TSEN2 (complex)	component>
TSEN34	TSEN54/TSEN15/TSEN34/CLP1/TSEN2 (complex)	component>
CLP1	TSEN54/TSEN15/TSEN34/CLP1/TSEN2 (complex)	component>
TSEN2	TSEN54/TSEN15/TSEN34/CLP1/TSEN2 (complex)	component>
DLAT	DLAT/PDK1/PDHX/PDK2 (complex)	component>
PDK1	DLAT/PDK1/PDHX/PDK2 (complex)	component>
PDHX	DLAT/PDK1/PDHX/PDK2 (complex)	component>
PDK2	DLAT/PDK1/PDHX/PDK2 (complex)	component>
MAML3	MAML3/ZBTB1/C19orf50/RNF183/WWP2/SF1/CPSF6/WWP1/SCMH1/EWSR1 (complex)	component>
ZBTB1	MAML3/ZBTB1/C19orf50/RNF183/WWP2/SF1/CPSF6/WWP1/SCMH1/EWSR1 (complex)	component>
C19orf50	MAML3/ZBTB1/C19orf50/RNF183/WWP2/SF1/CPSF6/WWP1/SCMH1/EWSR1 (complex)	component>
RNF183	MAML3/ZBTB1/C19orf50/RNF183/WWP2/SF1/CPSF6/WWP1/SCMH1/EWSR1 (complex)	component>
WWP2	MAML3/ZBTB1/C19orf50/RNF183/WWP2/SF1/CPSF6/WWP1/SCMH1/EWSR1 (complex)	component>
SF1	MAML3/ZBTB1/C19orf50/RNF183/WWP2/SF1/CPSF6/WWP1/SCMH1/EWSR1 (complex)	component>
CPSF6	MAML3/ZBTB1/C19orf50/RNF183/WWP2/SF1/CPSF6/WWP1/SCMH1/EWSR1 (complex)	component>
WWP1	MAML3/ZBTB1/C19orf50/RNF183/WWP2/SF1/CPSF6/WWP1/SCMH1/EWSR1 (complex)	component>
