complex	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3A (complex)
protein	RPN1
protein	RPN2
protein	TUSC3
complex	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3B/TUSC3 (complex)
protein	DDOST
protein	MAGT1
protein	STT3B
protein	STT3A
protein	DAD1
RPN1	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3A (complex)	component>
RPN1	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3B/TUSC3 (complex)	component>
RPN2	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3A (complex)	component>
RPN2	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3B/TUSC3 (complex)	component>
TUSC3	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3B/TUSC3 (complex)	component>
DDOST	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3A (complex)	component>
DDOST	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3B/TUSC3 (complex)	component>
MAGT1	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3A (complex)	component>
MAGT1	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3B/TUSC3 (complex)	component>
STT3B	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3B/TUSC3 (complex)	component>
STT3A	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3A (complex)	component>
DAD1	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3A (complex)	component>
DAD1	DAD1/DDOST/MAGT1/RPN1/RPN2/STT3B/TUSC3 (complex)	component>
