MAPK1	MKNK2	-a>
MAPK1	RPS6KA1	-a>
MAPK1	RPS6KA3	-a>
MAPK1	RPS6KA5	-a>
MAPK1	RPS6KB1	-a>
MAPK3	MKNK1	-a>
MAPK3	MKNK2	-a>
MAPK3	RAF1	-a|
MAPK3	RPS6KA1	-a>
MAPK3	RPS6KA3	-a>
MAPK3	RPS6KA5	-a>
MAPK3	RPS6KB1	-a>
MAPK4	MAPK6	-a>
MAPK8	PPP5C	-a|
MAPK9	PRKCB	-a>
MAPKAPK2	PLK1	-a>
MARK3	PIM1	-a|
MARK3	STK11	-a>
MATK	SRC	-a|
MELK	STK11	-a>
MET	PPP2CB	-a>
MET	PRKCA	-a|
MET	PRKCD	-a|
MET	PRKCZ	-a|
MET	PTK2	-a>
MET	PTK2	-a|
MET	PTPRJ	-a>
MST1R	PPP1CA	-a|
MST1	STK4	-a>
MTOR	RPS6KB1	-a>
MYT1	PLK1	-a|
NEK6	NEK9	-a>
OSR1	PAK1	-a|
OSR1	WNK1	-a>
OXSR1	WNK1	-a>
PAK1	PDK1	-a>
PAK1	PLK1	-a>
PAK1	PRKG1	-a|
PAK1	RAF1	-a>
PAK2	SRC	-a>
PAK3	RAF1	-a>
PAK3	STK4	-a>
PDGFRB	PTPN11	-a|
PDGFRB	PTPRJ	-a|
PDK1	PDPK1	-a>
PDK1	PKN1	-a>
PDK1	PKN2	-a>
PDK1	PPP2CA	-a|
PDK1	PRKACA	-a>
PDK1	PRKCA	-a>
PDK1	PRKCD	-a|
PDK1	PRKCZ	-a>
PDK1	RET	-a>
PDK1	RPS6KA1	-a>
PDK1	RPS6KA3	-a>
PDK1	RPS6KB1	-a>
PDK1	SRC	-a>
PDPK1	PPP2CA	-a|
PDPK1	RET	-a>
PDPK1	SRC	-a>
PIM1	STK10	-a|
PKD1	PRKCA	-a>
PKD1	PRKCD	-a>
PKD1	PRKCH	-a>
PKD1	PRKD1	-a>
PKD1	PRKD1	-a|
PKD1	SRC	-a>
PKD2	PRKCA	-a>
PKD2	PRKCE	-a>
PKD2	PRKCH	-a>
PKD2	PRKD2	-a>
PKMYT1	PLK1	-a|
PLK1	STK10	-a|
PLK1	WEE1	-a|
PPM1D	RPS6KA1	-a|
PPM1D	RPS6KA3	-a|
PPP1CA	PRKCB	-a>
PPP1CA	PRKCB	-a|
PPP2CA	PRKAA1	-a|
PPP2CA	PRKAA2	-a|
PPP2CB	RAF1	-a>
PPP5C	RAF1	-a|
PRKAA1	STK11	-a>
PRKAA2	STK11	-a>
PRKACA	RAF1	-a>
PRKACA	RAF1	-a|
PRKACA	RET	-a>
PRKACA	STK24	-a>
PRKACA	STK3	-a>
PRKCA	PRKD1	-a>
PRKCA	PRKD2	-a>
PRKCA	PRKD3	-a>
PRKCA	PRKG1	-a>
PRKCA	RAF1	-a>
PRKCA	RAF1	-a|
PRKCA	RPS6KA1	-a>
PRKCB	SYK	-a>
PRKCD	PRKD1	-a>
PRKCD	PTPN22	-a|
PRKCD	SRC	-a>
PRKCD	SRC	-a|
PRKCE	PRKD2	-a>
PRKCH	PRKD1	-a>
PRKCH	PRKD2	-a>
PRKCI	SRC	-a>
PRKCZ	STK11	-a>
PRKD1	SRC	-a>
PTK2B	SRC	-a>
PTK2	PTPN11	-a|
PTK2	SRC	-a>
PTK2	SRC	-a|
PTPN11	SRC	-a>
PTPN22	SRC	-a|
PTPN22	ZAP70	-a|
PTPRA	SRC	-a>
PTPRJ	RET	-a>
PTPRJ	RET	-a|
RAF1	SRC	-a>
RAF1	SRC	-a|
RET	SRC	-a>
RPS6KA1	RPS6KB1	-a>
RPS6KA3	SRC	-a>
SGK1	WNK1	-a>
STK10	STK11	-a>
STK24	STK3	-a>
STK3	STK38L	-a>
